# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.203156114E-01
1.021026071E+01  5.021663904E-01
1.021355192E+01  7.221080661E-01
1.021684314E+01  8.679273725E-01
1.022013436E+01  1.234541774E+00
1.022342557E+01  1.170002937E+00
1.022671679E+01  1.141760707E+00
1.023000800E+01  5.275459290E-01
1.023329922E+01  8.616691083E-02
1.023659044E+01  -6.134594679E-01
1.023988165E+01  -5.953680277E-01
1.024317287E+01  -5.499498248E-01
1.024646409E+01  -4.019466639E-01
1.024975530E+01  -2.276134938E-01
1.025304652E+01  -4.789219424E-02
1.025633774E+01  -6.650276482E-02
1.025962895E+01  1.926870644E-01
1.026292017E+01  1.893004477E-01
1.026621138E+01  1.687432230E-01
1.026950260E+01  2.338925153E-01
1.027279382E+01  2.609618306E-01
1.027608503E+01  2.870680094E-01
1.027937625E+01  2.779764235E-01
1.028266747E+01  2.136603147E-01
1.028595868E+01  3.606745005E-01
1.028924990E+01  1.822472215E-01
1.029254112E+01  -7.775149494E-02
1.029583233E+01  -2.079776824E-01
1.029912355E+01  -3.100407720E-01
1.030241477E+01  -3.646351099E-01
1.030570598E+01  -2.673804760E-01
1.030899720E+01  1.248014048E-01
1.031228841E+01  1.012180448E-01
1.031557963E+01  4.118403792E-02
1.031887085E+01  2.169143856E-01
1.032216206E+01  3.904456496E-01
1.032545328E+01  6.408035159E-01
1.032874450E+01  6.012842655E-01
1.033203571E+01  5.037649274E-01
1.033532693E+01  2.492496222E-01
1.033861815E+01  9.127315134E-03
1.034190936E+01  -9.262608737E-02
1.034520058E+01  -1.183979884E-01
1.034849179E+01  -4.632996619E-01
1.035178301E+01  -3.256808519E-01
1.035507423E+01  -1.631864458E-01
1.035836544E+01  1.322952509E-01
1.036165666E+01  7.044970989E-02
1.036494788E+01  8.363571763E-02
1.036823909E+01  -3.932850808E-02
1.037153031E+01  5.074883103E-01
1.037482153E+01  5.535894632E-01
1.037811274E+01  7.494129539E-01
1.038140396E+01  8.322960138E-01
1.038469518E+01  1.104621768E+00
1.038798639E+01  1.304345727E+00
1.039127761E+01  1.313048601E+00
1.039456882E+01  1.050855756E+00
1.039786004E+01  7.423117161E-01
1.040115126E+01  6.985347271E-01
1.040444247E+01  7.166364789E-01
1.040773369E+01  4.261165261E-01
1.041102491E+01  2.834784687E-01
1.041431612E+01  3.168806732E-01
1.041760734E+01  4.056685567E-01
1.042089856E+01  4.517372549E-01
1.042418977E+01  3.619230688E-01
1.042748099E+01  1.424397826E-01
1.043077220E+01  1.780306995E-01
1.043406342E+01  6.855733693E-02
1.043735464E+01  2.583571710E-02
1.044064585E+01  -1.873187423E-01
1.044393707E+01  -2.027699351E-01
1.044722829E+01  -2.106447965E-01
