# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.595425010E-01
1.021026071E+01  7.591080070E-01
1.021355192E+01  1.266814590E+00
1.021684314E+01  1.021800280E+00
1.022013436E+01  8.637360930E-01
1.022342557E+01  1.025187254E+00
1.022671679E+01  1.048018098E+00
1.023000800E+01  3.055768013E-01
1.023329922E+01  4.202253744E-02
1.023659044E+01  -6.064229012E-01
1.023988165E+01  -4.635374844E-01
1.024317287E+01  -1.739381552E-01
1.024646409E+01  3.027509451E-01
1.024975530E+01  2.866141498E-01
1.025304652E+01  8.351731300E-02
1.025633774E+01  -6.958330516E-03
1.025962895E+01  6.369989365E-02
1.026292017E+01  2.406490296E-01
1.026621138E+01  2.908447087E-01
1.026950260E+01  1.006515324E-01
1.027279382E+01  -1.949309744E-02
1.027608503E+01  2.072047815E-02
1.027937625E+01  1.092191879E-02
1.028266747E+01  -2.122451551E-03
1.028595868E+01  -4.972490296E-02
1.028924990E+01  1.966457069E-01
1.029254112E+01  3.562536836E-01
1.029583233E+01  2.122966945E-01
1.029912355E+01  -1.908119470E-01
1.030241477E+01  -4.168671966E-01
1.030570598E+01  -3.506827652E-01
1.030899720E+01  -1.257853955E-01
1.031228841E+01  9.492090344E-02
1.031557963E+01  3.367737830E-01
1.031887085E+01  5.687955022E-01
1.032216206E+01  6.927429438E-01
1.032545328E+01  8.130605221E-01
1.032874450E+01  6.293746233E-01
1.033203571E+01  5.872011781E-01
1.033532693E+01  1.120498404E-01
1.033861815E+01  -3.976874352E-01
1.034190936E+01  -5.953970551E-01
1.034520058E+01  -1.946019083E-01
1.034849179E+01  2.301490307E-02
1.035178301E+01  6.191131100E-02
1.035507423E+01  -1.174306199E-01
1.035836544E+01  -2.753984369E-02
1.036165666E+01  1.032545194E-01
1.036494788E+01  1.361916512E-01
1.036823909E+01  -4.931959882E-02
1.037153031E+01  4.001880288E-01
1.037482153E+01  7.924782634E-01
1.037811274E+01  9.215222597E-01
1.038140396E+01  8.540832400E-01
1.038469518E+01  9.694077969E-01
1.038798639E+01  1.161902428E+00
1.039127761E+01  1.295491695E+00
1.039456882E+01  1.203189969E+00
1.039786004E+01  1.109961748E+00
1.040115126E+01  1.068444610E+00
1.040444247E+01  7.406942844E-01
1.040773369E+01  4.282206893E-01
1.041102491E+01  2.715230286E-01
1.041431612E+01  2.863677144E-01
1.041760734E+01  3.033157289E-01
1.042089856E+01  5.379750133E-01
1.042418977E+01  4.768275023E-01
1.042748099E+01  4.136231840E-01
1.043077220E+01  4.450950921E-01
1.043406342E+01  4.595306218E-01
1.043735464E+01  4.496937692E-01
1.044064585E+01  3.093692660E-01
1.044393707E+01  1.482877135E-01
1.044722829E+01  7.484609634E-02
1.045051950E+01  -4.936615005E-02
1.045381072E+01  -2.438673526E-01
1.045710194E+01  -3.679123223E-01
1.046039315E+01  -1.344818175E-01
1.046368437E+01  1.070826799E-01
1.046697559E+01  3.426718414E-01
1.047026680E+01  5.917327404E-01
1.047355802E+01  7.126877308E-01
1.047684923E+01  5.789616108E-01
1.048014045E+01  4.578806758E-01
1.048343167E+01  3.699707985E-01
1.048672288E+01  3.029834330E-01
1.049001410E+01  2.992223501E-01
1.049330532E+01  5.460674763E-01
1.049659653E+01  4.618979990E-01
1.049988775E+01  7.498282194E-01
1.050317897E+01  6.870207787E-01
1.050647018E+01  5.899471641E-01
1.050976140E+01  5.155645609E-01
1.051305261E+01  4.136059880E-01
1.051634383E+01  2.681094408E-01
1.051963505E+01  6.471844018E-02
1.052292626E+01  2.311249822E-01
1.052621748E+01  3.421162665E-01
1.052950870E+01  4.080068469E-01
1.053279991E+01  6.684628129E-01
1.053609113E+01  7.027341723E-01
1.053938235E+01  8.023155332E-01
1.054267356E+01  6.299743056E-01
1.054596478E+01  5.875768661E-01
1.054925600E+01  3.887083232E-01
1.055254721E+01  2.350421995E-01
1.055583843E+01  1.371066719E-01
1.055912964E+01  2.042676508E-01
1.056242086E+01  2.926492393E-01
1.056571208E+01  5.025818944E-01
1.056900329E+01  4.462432563E-01
1.057229451E+01  3.337610364E-01
1.057558573E+01  1.947845817E-01
1.057887694E+01  3.278336227E-01
1.058216816E+01  4.975513816E-01
1.058545938E+01  4.827164412E-01
1.058875059E+01  3.629591465E-01
1.059204181E+01  3.787280321E-01
1.059533302E+01  3.450250924E-01
1.059862424E+01  2.734781206E-01
1.060191546E+01  2.782855034E-01
1.060520667E+01  5.421080589E-01
1.060849789E+01  5.121369362E-01
1.061178911E+01  4.605946839E-01
1.061508032E+01  6.036154032E-01
1.061837154E+01  5.709754229E-01
1.062166276E+01  4.273198843E-01
1.062495397E+01  3.061209023E-01
1.062824519E+01  3.938253820E-01
1.063153641E+01  4.559180140E-01
1.063482762E+01  5.214278102E-01
1.063811884E+01  6.308414340E-01
1.064141005E+01  6.928840876E-01
1.064470127E+01  7.869344950E-01
1.064799249E+01  6.943351626E-01
1.065128370E+01  5.887663960E-01
1.065457492E+01  3.322699070E-01
1.065786614E+01  3.306898773E-01
1.066115735E+01  3.183103502E-01
1.066444857E+01  1.846899837E-01
1.066773979E+01  -4.177463055E-02
1.067103100E+01  -3.853728250E-02
1.067432222E+01  -5.604203790E-02
1.067761343E+01  -6.308798492E-02
1.068090465E+01  1.374242902E-01
1.068419587E+01  2.311607152E-01
1.068748708E+01  2.789743245E-01
1.069077830E+01  1.269746125E-01
1.069406952E+01  1.669761091E-01
1.069736073E+01  6.163119152E-02
1.070065195E+01  1.151243374E-01
1.070394317E+01  2.562529147E-01
1.070723438E+01  4.085529447E-01
1.071052560E+01  5.211905837E-01
1.071381682E+01  4.438151717E-01
1.071710803E+01  3.381755352E-01
1.072039925E+01  2.531017959E-01
1.072369046E+01  2.270700037E-01
1.072698168E+01  1.851901859E-01
1.073027290E+01  1.228495613E-01
1.073356411E+01  1.476151943E-01
1.073685533E+01  2.361833155E-01
1.074014655E+01  4.589372277E-01
1.074343776E+01  5.961038470E-01
1.074672898E+01  7.212451100E-01
1.075002020E+01  4.947426021E-01
1.075331141E+01  4.055634141E-01
1.075660263E+01  2.759266198E-01
1.075989384E+01  2.164118737E-01
1.076318506E+01  1.265325695E-01
1.076647628E+01  8.693908900E-02
1.076976749E+01  1.064319685E-01
1.077305871E+01  4.057435691E-02
1.077634993E+01  -3.618047759E-02
1.077964114E+01  -7.865876891E-03
1.078293236E+01  2.126294225E-01
1.078622358E+01  3.586339653E-01
1.078951479E+01  4.651052952E-01
1.079280601E+01  5.169510841E-01
1.079609723E+01  5.083295703E-01
1.079938844E+01  4.124915600E-01
1.080267966E+01  3.432230651E-01
1.080597087E+01  2.770524323E-01
1.080926209E+01  3.942509592E-01
1.081255331E+01  4.881879687E-01
1.081584452E+01  5.880658627E-01
1.081913574E+01  5.467621684E-01
1.082242696E+01  5.304133892E-01
1.082571817E+01  3.371740580E-01
1.082900939E+01  3.584746420E-01
1.083230061E+01  4.032822251E-01
1.083559182E+01  5.105376244E-01
1.083888304E+01  5.432049036E-01
1.084217425E+01  6.208416820E-01
1.084546547E+01  6.545054913E-01
1.084875669E+01  5.166311264E-01
1.085204790E+01  3.783020079E-01
1.085533912E+01  3.726596236E-01
1.085863034E+01  2.483944148E-01
1.086192155E+01  1.315857619E-01
1.086521277E+01  -7.612570375E-02
1.086850399E+01  -1.610438153E-02
1.087179520E+01  4.042246565E-02
1.087508642E+01  9.491448849E-02
1.087837764E+01  2.449492663E-01
1.088166885E+01  4.455233216E-01
1.088496007E+01  4.205750823E-01
1.088825128E+01  3.925122023E-01
1.089154250E+01  3.128740191E-01
1.089483372E+01  3.522073925E-01
1.089812493E+01  3.784544170E-01
1.090141615E+01  4.411357939E-01
1.090470737E+01  2.940483689E-01
1.090799858E+01  1.283190697E-01
1.091128980E+01  8.134781569E-02
1.091458102E+01  3.131142259E-02
1.091787223E+01  1.449457109E-01
1.092116345E+01  1.802912652E-01
1.092445466E+01  4.826336503E-01
1.092774588E+01  4.361645281E-01
1.093103710E+01  3.160391152E-01
1.093432831E+01  3.744064644E-02
1.093761953E+01  7.787499577E-02
1.094091075E+01  2.684256434E-01
1.094420196E+01  1.994248331E-01
1.094749318E+01  2.023308575E-01
1.095078440E+01  2.892136872E-01
1.095407561E+01  3.684426546E-01
1.095736683E+01  4.362882078E-01
1.096065805E+01  3.981938958E-01
1.096394926E+01  3.831464052E-01
1.096724048E+01  3.365816474E-01
1.097053169E+01  3.250798285E-01
1.097382291E+01  2.383432835E-01
1.097711413E+01  2.105725557E-01
1.098040534E+01  1.532662362E-01
1.098369656E+01  2.195163220E-01
1.098698778E+01  1.855780631E-01
1.099027899E+01  2.818416655E-01
1.099357021E+01  3.564609289E-01
1.099686143E+01  2.865327597E-01
1.100015264E+01  3.478232920E-01
1.100344386E+01  3.192887902E-01
1.100673507E+01  3.840298355E-01
1.101002629E+01  3.484428227E-01
1.101331751E+01  4.751124084E-01
1.101660872E+01  6.165528297E-01
1.101989994E+01  5.753974915E-01
1.102319116E+01  4.530972838E-01
1.102648237E+01  3.742499053E-01
1.102977359E+01  4.439065754E-01
1.103306481E+01  3.585768342E-01
1.103635602E+01  3.951125443E-01
1.103964724E+01  3.090967536E-01
1.104293846E+01  3.432704508E-01
1.104622967E+01  3.641166091E-01
1.104952089E+01  4.882776439E-01
1.105281210E+01  3.635553122E-01
1.105610332E+01  2.458370775E-01
1.105939454E+01  1.559506357E-01
1.106268575E+01  1.521564424E-01
1.106597697E+01  1.004437134E-01
1.106926819E+01  2.555317283E-01
1.107255940E+01  1.929644197E-01
1.107585062E+01  2.773987949E-01
1.107914184E+01  3.543296754E-01
1.108243305E+01  4.261504412E-01
1.108572427E+01  2.493160963E-01
1.108901548E+01  1.880202591E-01
1.109230670E+01  1.569163501E-01
1.109559792E+01  9.742079675E-02
1.109888913E+01  6.171067804E-02
1.110218035E+01  1.474781781E-01
1.110547157E+01  3.783130646E-01
1.110876278E+01  4.661920369E-01
1.111205400E+01  4.568329751E-01
1.111534522E+01  3.475080431E-01
1.111863643E+01  2.606677711E-01
1.112192765E+01  3.256691396E-01
1.112521887E+01  3.101443052E-01
1.112851008E+01  2.818066776E-01
1.113180130E+01  2.161493301E-01
1.113509251E+01  2.259839475E-01
1.113838373E+01  2.894853354E-01
1.114167495E+01  3.035255671E-01
1.114496616E+01  2.981231213E-01
1.114825738E+01  1.274511814E-01
1.115154860E+01  6.688088179E-02
1.115483981E+01  8.116395772E-02
1.115813103E+01  3.086904585E-01
1.116142225E+01  3.842636943E-01
1.116471346E+01  4.566582143E-01
1.116800468E+01  5.115283132E-01
1.117129589E+01  4.405341148E-01
1.117458711E+01  3.012626469E-01
1.117787833E+01  3.136411011E-01
1.118116954E+01  2.681989968E-01
1.118446076E+01  2.929397821E-01
1.118775198E+01  2.668224275E-01
1.119104319E+01  3.784896135E-01
