# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.937499642E-01
1.021026071E+01  1.027264118E+00
1.021355192E+01  1.393993855E+00
1.021684314E+01  1.083668709E+00
1.022013436E+01  6.546098590E-01
1.022342557E+01  9.119235873E-01
1.022671679E+01  9.865186214E-01
1.023000800E+01  1.468262225E-01
1.023329922E+01  -1.738121361E-01
1.023659044E+01  -1.026004925E-01
1.023988165E+01  -5.491888151E-02
1.024317287E+01  -2.805256471E-02
1.024646409E+01  1.779255569E-01
1.024975530E+01  3.064455688E-01
1.025304652E+01  3.156537414E-01
1.025633774E+01  2.535028756E-01
1.025962895E+01  4.257642031E-01
1.026292017E+01  2.885874808E-01
1.026621138E+01  2.017118186E-01
1.026950260E+01  8.193247020E-02
1.027279382E+01  3.288569674E-02
1.027608503E+01  -1.968294978E-01
1.027937625E+01  -1.058687270E-01
1.028266747E+01  -7.095759362E-02
1.028595868E+01  1.209387481E-01
1.028924990E+01  4.020661861E-02
1.029254112E+01  -2.649623156E-01
1.029583233E+01  -3.266957402E-02
1.029912355E+01  -1.063682586E-01
1.030241477E+01  -1.338018924E-01
1.030570598E+01  -2.162326574E-01
1.030899720E+01  -1.896817386E-01
1.031228841E+01  1.016403660E-01
1.031557963E+01  2.995561957E-01
1.031887085E+01  4.298190475E-01
1.032216206E+01  3.509035707E-01
1.032545328E+01  5.800379515E-01
1.032874450E+01  8.188007474E-01
1.033203571E+01  3.888803124E-01
1.033532693E+01  -1.085532904E-01
1.033861815E+01  -1.811492741E-01
1.034190936E+01  -1.727694571E-01
1.034520058E+01  -1.614879221E-01
1.034849179E+01  -2.814829051E-01
1.035178301E+01  -1.500547379E-01
1.035507423E+01  6.477956474E-02
1.035836544E+01  4.777416587E-03
1.036165666E+01  4.619623721E-02
1.036494788E+01  9.055946022E-02
1.036823909E+01  -3.900387511E-02
1.037153031E+01  1.647809297E-01
1.037482153E+01  4.118996263E-01
1.037811274E+01  6.160706282E-01
1.038140396E+01  8.331492543E-01
1.038469518E+01  9.512163401E-01
1.038798639E+01  1.242215753E+00
1.039127761E+01  1.346001029E+00
1.039456882E+01  1.223644257E+00
1.039786004E+01  8.721427321E-01
1.040115126E+01  1.068047762E+00
1.040444247E+01  7.542016506E-01
1.040773369E+01  4.844673872E-01
1.041102491E+01  6.337761879E-02
1.041431612E+01  8.997481316E-03
1.041760734E+01  2.514613979E-02
1.042089856E+01  3.167283833E-01
1.042418977E+01  3.171649873E-01
1.042748099E+01  1.435597390E-01
1.043077220E+01  1.207929999E-01
1.043406342E+01  1.657381803E-01
1.043735464E+01  2.533166707E-01
1.044064585E+01  3.993346095E-01
1.044393707E+01  3.918424249E-01
1.044722829E+01  1.592999399E-01
1.045051950E+01  -1.576656010E-03
1.045381072E+01  -8.596034348E-02
1.045710194E+01  -2.278152704E-01
1.046039315E+01  -1.707495451E-01
1.046368437E+01  -8.872735500E-02
1.046697559E+01  9.860444814E-02
1.047026680E+01  3.200086057E-01
1.047355802E+01  4.510061741E-01
1.047684923E+01  4.846298993E-01
1.048014045E+01  6.538789868E-01
1.048343167E+01  8.202677965E-01
1.048672288E+01  7.925888896E-01
1.049001410E+01  5.564314723E-01
1.049330532E+01  4.288601279E-01
1.049659653E+01  3.212673962E-01
1.049988775E+01  4.111732244E-01
1.050317897E+01  4.343795776E-01
1.050647018E+01  3.311893940E-01
1.050976140E+01  1.235878170E-01
1.051305261E+01  8.458036184E-02
1.051634383E+01  1.270936579E-01
1.051963505E+01  1.557038724E-01
1.052292626E+01  7.115429640E-02
1.052621748E+01  1.678219438E-01
1.052950870E+01  2.544003129E-01
1.053279991E+01  5.280010104E-01
1.053609113E+01  5.500991344E-01
1.053938235E+01  5.205278993E-01
1.054267356E+01  3.698657155E-01
1.054596478E+01  4.705357254E-01
1.054925600E+01  4.816383719E-01
1.055254721E+01  3.743734956E-01
1.055583843E+01  2.205218822E-01
1.055912964E+01  2.296864390E-01
1.056242086E+01  2.318245769E-01
1.056571208E+01  1.686613709E-01
1.056900329E+01  1.609569788E-01
1.057229451E+01  1.669710577E-01
1.057558573E+01  1.384848356E-01
1.057887694E+01  6.173859164E-02
1.058216816E+01  8.204247802E-03
1.058545938E+01  1.530271117E-02
1.058875059E+01  1.290674210E-01
1.059204181E+01  3.113785684E-01
1.059533302E+01  2.648722827E-01
1.059862424E+01  6.996265054E-02
1.060191546E+01  -4.683814943E-03
1.060520667E+01  3.309968710E-01
1.060849789E+01  3.632625639E-01
1.061178911E+01  4.771306813E-01
1.061508032E+01  6.278089881E-01
1.061837154E+01  5.610230565E-01
1.062166276E+01  4.802201390E-01
1.062495397E+01  2.828914821E-01
1.062824519E+01  2.286547571E-01
1.063153641E+01  6.331066042E-02
1.063482762E+01  1.964821070E-01
1.063811884E+01  4.176938534E-01
1.064141005E+01  5.033471584E-01
1.064470127E+01  5.007095933E-01
1.064799249E+01  4.060996473E-01
1.065128370E+01  6.176522374E-01
1.065457492E+01  5.905013680E-01
1.065786614E+01  5.415599942E-01
1.066115735E+01  3.235603869E-01
1.066444857E+01  2.610986531E-01
1.066773979E+01  4.371438548E-02
1.067103100E+01  1.605906934E-01
1.067432222E+01  5.457355082E-02
1.067761343E+01  3.065249696E-02
1.068090465E+01  6.513225287E-02
1.068419587E+01  1.245605126E-01
1.068748708E+01  1.475594938E-01
1.069077830E+01  7.639542222E-02
1.069406952E+01  2.121306509E-01
1.069736073E+01  2.612163723E-01
1.070065195E+01  2.178569287E-01
1.070394317E+01  2.677105665E-01
1.070723438E+01  2.929993272E-01
1.071052560E+01  4.152363837E-01
1.071381682E+01  3.758480847E-01
1.071710803E+01  2.477417439E-01
1.072039925E+01  2.098599374E-01
1.072369046E+01  2.636693120E-01
1.072698168E+01  3.290115297E-01
1.073027290E+01  3.150652647E-01
1.073356411E+01  3.455725312E-01
1.073685533E+01  3.821564913E-01
1.074014655E+01  4.704226851E-01
1.074343776E+01  3.860898316E-01
1.074672898E+01  3.884494901E-01
1.075002020E+01  4.187085330E-01
1.075331141E+01  5.759156346E-01
1.075660263E+01  5.019411445E-01
1.075989384E+01  3.947983980E-01
1.076318506E+01  2.786782682E-01
1.076647628E+01  2.321720570E-01
1.076976749E+01  2.720214725E-01
1.077305871E+01  1.962449849E-01
