# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.892848015E-01
1.021026071E+01  4.377641380E-01
1.021355192E+01  1.114513040E+00
1.021684314E+01  1.046932936E+00
1.022013436E+01  8.751877546E-01
1.022342557E+01  7.673192024E-01
1.022671679E+01  8.799492121E-01
1.023000800E+01  4.418554604E-01
1.023329922E+01  2.325966507E-01
1.023659044E+01  -7.763793319E-02
1.023988165E+01  -2.183425725E-01
1.024317287E+01  -4.228045940E-01
1.024646409E+01  -7.741411775E-02
1.024975530E+01  -6.606235355E-02
1.025304652E+01  -2.330942601E-01
1.025633774E+01  -1.620983034E-01
1.025962895E+01  2.218752652E-01
1.026292017E+01  3.448326886E-01
1.026621138E+01  4.118634164E-01
1.026950260E+01  1.447033286E-01
1.027279382E+01  8.662101626E-02
1.027608503E+01  9.632392973E-02
1.027937625E+01  1.557407528E-01
1.028266747E+01  2.932093740E-01
1.028595868E+01  1.560229212E-01
1.028924990E+01  -3.058294356E-01
1.029254112E+01  -7.117636800E-01
1.029583233E+01  -3.439419270E-01
1.029912355E+01  -6.528526545E-02
1.030241477E+01  -1.449787319E-01
1.030570598E+01  -1.664185524E-01
1.030899720E+01  1.429658383E-01
1.031228841E+01  3.698211312E-01
1.031557963E+01  3.692672253E-01
1.031887085E+01  4.240146577E-01
1.032216206E+01  3.809269369E-01
1.032545328E+01  8.345245123E-01
1.032874450E+01  9.035553932E-01
1.033203571E+01  6.641049981E-01
1.033532693E+01  2.984502316E-01
1.033861815E+01  1.310364306E-01
1.034190936E+01  -1.271935552E-01
1.034520058E+01  -1.450919062E-01
1.034849179E+01  -2.058311254E-01
1.035178301E+01  4.647208005E-02
1.035507423E+01  1.147289500E-01
1.035836544E+01  -1.364795715E-01
1.036165666E+01  -3.769760951E-02
1.036494788E+01  1.330721974E-01
1.036823909E+01  1.200097501E-01
1.037153031E+01  5.419576764E-01
1.037482153E+01  6.429222822E-01
1.037811274E+01  8.165936470E-01
1.038140396E+01  8.965567946E-01
1.038469518E+01  1.146564126E+00
1.038798639E+01  1.214420915E+00
1.039127761E+01  1.113092303E+00
1.039456882E+01  7.545989752E-01
1.039786004E+01  3.419573605E-01
1.040115126E+01  4.959822595E-01
1.040444247E+01  7.044848204E-01
1.040773369E+01  6.028103232E-01
1.041102491E+01  2.619613707E-01
1.041431612E+01  -2.648132108E-02
1.041760734E+01  -1.400099844E-01
1.042089856E+01  3.275796305E-03
1.042418977E+01  -7.610081136E-02
1.042748099E+01  -7.448471338E-02
1.043077220E+01  1.401038766E-01
1.043406342E+01  2.730457187E-01
1.043735464E+01  2.320086956E-01
1.044064585E+01  2.004830241E-01
1.044393707E+01  2.617541887E-02
1.044722829E+01  -7.885076106E-02
1.045051950E+01  -1.474160552E-01
1.045381072E+01  2.663224004E-02
1.045710194E+01  -1.065160055E-02
1.046039315E+01  -1.979706995E-02
1.046368437E+01  -8.573970944E-02
1.046697559E+01  -1.327232271E-01
1.047026680E+01  5.582971871E-02
1.047355802E+01  1.800937951E-01
1.047684923E+01  2.325262874E-01
1.048014045E+01  2.677559555E-01
1.048343167E+01  1.860712022E-01
1.048672288E+01  3.161590397E-01
1.049001410E+01  5.023032427E-01
1.049330532E+01  7.667903304E-01
1.049659653E+01  5.430521965E-01
1.049988775E+01  5.407577753E-01
1.050317897E+01  4.476883411E-01
1.050647018E+01  3.509402573E-01
1.050976140E+01  9.649925679E-02
1.051305261E+01  -2.740322240E-02
1.051634383E+01  9.186042845E-02
1.051963505E+01  2.583947480E-01
1.052292626E+01  3.945761025E-01
1.052621748E+01  2.089185268E-01
1.052950870E+01  2.114887536E-01
1.053279991E+01  3.192662597E-01
1.053609113E+01  3.789122999E-01
1.053938235E+01  3.138673007E-01
1.054267356E+01  2.880988121E-01
1.054596478E+01  4.165371656E-01
1.054925600E+01  5.173215270E-01
1.055254721E+01  4.037861526E-01
1.055583843E+01  2.921554744E-01
1.055912964E+01  2.825589776E-01
1.056242086E+01  2.495676130E-01
1.056571208E+01  1.458333284E-01
1.056900329E+01  1.281216592E-01
1.057229451E+01  1.245821789E-01
1.057558573E+01  1.900054216E-01
1.057887694E+01  1.268708706E-01
1.058216816E+01  2.079431862E-01
1.058545938E+01  1.893326491E-01
1.058875059E+01  3.977402747E-01
1.059204181E+01  4.570536017E-01
1.059533302E+01  4.678921103E-01
1.059862424E+01  3.417547047E-01
1.060191546E+01  2.254801393E-01
1.060520667E+01  4.111943543E-01
1.060849789E+01  5.238133669E-01
1.061178911E+01  6.472153664E-01
1.061508032E+01  6.285200715E-01
1.061837154E+01  3.949279189E-01
1.062166276E+01  1.599806100E-01
1.062495397E+01  1.255391049E-03
1.062824519E+01  2.700193822E-01
1.063153641E+01  4.533407986E-01
1.063482762E+01  5.063147545E-01
1.063811884E+01  5.002728105E-01
1.064141005E+01  5.698189139E-01
1.064470127E+01  6.793915629E-01
1.064799249E+01  6.652049422E-01
1.065128370E+01  7.086266279E-01
1.065457492E+01  5.608837008E-01
1.065786614E+01  4.149860144E-01
1.066115735E+01  1.448162198E-01
1.066444857E+01  4.085322469E-02
1.066773979E+01  -1.265466809E-01
1.067103100E+01  6.498266011E-02
1.067432222E+01  6.521876901E-02
1.067761343E+01  1.281535923E-01
1.068090465E+01  1.481741518E-01
1.068419587E+01  1.876075715E-01
1.068748708E+01  1.172459200E-01
1.069077830E+01  7.272521406E-02
1.069406952E+01  2.026046365E-01
1.069736073E+01  4.936717451E-02
1.070065195E+01  3.305446729E-02
1.070394317E+01  2.326303869E-01
1.070723438E+01  3.402094245E-01
1.071052560E+01  3.579541445E-01
1.071381682E+01  3.634237647E-01
1.071710803E+01  3.653507829E-01
1.072039925E+01  2.993915677E-01
1.072369046E+01  2.548470497E-01
1.072698168E+01  2.923135459E-01
1.073027290E+01  2.836515903E-01
1.073356411E+01  2.515795827E-01
1.073685533E+01  3.089201748E-01
1.074014655E+01  3.052380979E-01
1.074343776E+01  3.465860188E-01
1.074672898E+01  3.507088721E-01
1.075002020E+01  3.425647616E-01
1.075331141E+01  3.812238276E-01
1.075660263E+01  2.762141228E-01
1.075989384E+01  1.948184073E-01
1.076318506E+01  1.024143398E-01
1.076647628E+01  4.395858385E-03
1.076976749E+01  1.112780124E-01
1.077305871E+01  1.547313035E-01
1.077634993E+01  3.618811667E-01
1.077964114E+01  4.672030210E-01
1.078293236E+01  4.384344816E-01
1.078622358E+01  3.106513023E-01
1.078951479E+01  3.092921674E-01
1.079280601E+01  4.202510417E-01
1.079609723E+01  3.693940938E-01
1.079938844E+01  3.838196695E-01
1.080267966E+01  4.243156016E-01
1.080597087E+01  3.914051652E-01
1.080926209E+01  3.354920745E-01
1.081255331E+01  1.715575308E-01
1.081584452E+01  2.831496298E-01
1.081913574E+01  4.572894275E-01
1.082242696E+01  7.327461839E-01
1.082571817E+01  5.107454658E-01
1.082900939E+01  3.395133615E-01
1.083230061E+01  1.198893040E-01
1.083559182E+01  1.727415621E-01
1.083888304E+01  2.288009375E-01
1.084217425E+01  4.169439673E-01
1.084546547E+01  3.874324262E-01
1.084875669E+01  3.499086499E-01
1.085204790E+01  2.021940351E-01
1.085533912E+01  1.931441724E-01
1.085863034E+01  4.764885083E-02
1.086192155E+01  -2.942451648E-02
1.086521277E+01  -5.551856011E-02
1.086850399E+01  -1.669427939E-02
1.087179520E+01  1.543711573E-01
1.087508642E+01  1.571350396E-01
1.087837764E+01  2.060759813E-01
1.088166885E+01  1.624774188E-01
1.088496007E+01  3.187264800E-01
1.088825128E+01  4.576773942E-01
1.089154250E+01  4.669263959E-01
1.089483372E+01  3.862723112E-01
1.089812493E+01  2.734516859E-01
1.090141615E+01  2.844428122E-01
1.090470737E+01  2.552013397E-01
1.090799858E+01  2.324593067E-01
1.091128980E+01  2.451435775E-01
1.091458102E+01  2.311470807E-01
1.091787223E+01  1.188889369E-01
1.092116345E+01  1.943216473E-01
1.092445466E+01  2.624111176E-01
1.092774588E+01  2.527369857E-01
1.093103710E+01  6.576129049E-02
1.093432831E+01  -5.282200128E-02
1.093761953E+01  5.435905885E-03
1.094091075E+01  2.031774372E-01
1.094420196E+01  1.854876727E-01
1.094749318E+01  2.673973441E-01
1.095078440E+01  2.722922862E-01
1.095407561E+01  3.260952830E-01
1.095736683E+01  3.694263399E-01
1.096065805E+01  3.611139059E-01
1.096394926E+01  3.013882637E-01
1.096724048E+01  1.505350322E-01
1.097053169E+01  8.071565628E-02
1.097382291E+01  1.616555154E-01
1.097711413E+01  1.853318214E-01
1.098040534E+01  3.158483505E-01
1.098369656E+01  3.362196088E-01
1.098698778E+01  4.354344308E-01
1.099027899E+01  4.503135979E-01
1.099357021E+01  5.349414349E-01
1.099686143E+01  4.390604198E-01
1.100015264E+01  5.079198480E-01
1.100344386E+01  3.662545681E-01
1.100673507E+01  3.953244388E-01
1.101002629E+01  1.913904548E-01
1.101331751E+01  3.898170292E-01
1.101660872E+01  4.396883249E-01
1.101989994E+01  5.787293911E-01
1.102319116E+01  5.448313355E-01
1.102648237E+01  4.593918025E-01
1.102977359E+01  3.731527627E-01
1.103306481E+01  1.301825196E-01
1.103635602E+01  3.770787269E-02
1.103964724E+01  1.372810751E-01
1.104293846E+01  3.873292506E-01
1.104622967E+01  4.841258526E-01
1.104952089E+01  5.300388932E-01
1.105281210E+01  4.377180636E-01
1.105610332E+01  2.772333026E-01
1.105939454E+01  1.826669872E-01
1.106268575E+01  8.303196728E-02
1.106597697E+01  -2.454940602E-02
1.106926819E+01  3.912739083E-02
1.107255940E+01  1.352117211E-01
1.107585062E+01  3.358152211E-01
1.107914184E+01  4.197269976E-01
1.108243305E+01  3.271082938E-01
1.108572427E+01  1.099940538E-01
1.108901548E+01  -1.338023320E-02
1.109230670E+01  1.839471012E-01
1.109559792E+01  2.429960370E-01
1.109888913E+01  2.726900280E-01
1.110218035E+01  2.588656843E-01
1.110547157E+01  2.846229076E-01
1.110876278E+01  2.388658226E-01
1.111205400E+01  3.167368174E-01
1.111534522E+01  4.124100804E-01
1.111863643E+01  4.408985376E-01
1.112192765E+01  3.598901927E-01
1.112521887E+01  2.926337123E-01
1.112851008E+01  3.134839535E-01
1.113180130E+01  4.472360611E-01
1.113509251E+01  4.753333330E-01
1.113838373E+01  4.715870619E-01
1.114167495E+01  2.778329253E-01
1.114496616E+01  2.595167756E-01
1.114825738E+01  1.636409611E-01
1.115154860E+01  3.242346644E-02
1.115483981E+01  -2.652327903E-02
1.115813103E+01  -7.277141325E-03
1.116142225E+01  1.306871474E-01
1.116471346E+01  3.153079152E-01
1.116800468E+01  5.091056228E-01
1.117129589E+01  4.439976215E-01
1.117458711E+01  4.067001939E-01
1.117787833E+01  4.171164930E-01
1.118116954E+01  4.856682420E-01
1.118446076E+01  3.605262637E-01
1.118775198E+01  1.545646042E-01
1.119104319E+01  8.784934133E-02
1.119433441E+01  1.560279280E-01
1.119762563E+01  2.035027444E-01
1.120091684E+01  5.550446734E-02
1.120420806E+01  2.398482151E-02
1.120749928E+01  1.620597690E-01
1.121079049E+01  3.419208527E-01
1.121408171E+01  4.960452616E-01
1.121737292E+01  3.195758462E-01
1.122066414E+01  3.854956329E-01
1.122395536E+01  2.226419896E-01
1.122724657E+01  1.896157563E-01
1.123053779E+01  1.403428614E-01
1.123382901E+01  2.679902911E-01
1.123712022E+01  4.107760191E-01
1.124041144E+01  5.100818276E-01
1.124370266E+01  5.259727836E-01
1.124699387E+01  3.661002219E-01
1.125028509E+01  3.146708012E-01
1.125357630E+01  3.007114530E-01
1.125686752E+01  2.393836528E-01
1.126015874E+01  1.433162689E-01
1.126344995E+01  1.294244081E-01
1.126674117E+01  1.101096123E-01
1.127003239E+01  2.013581097E-01
1.127332360E+01  1.180207208E-01
1.127661482E+01  1.056651101E-01
1.127990604E+01  1.308997124E-01
1.128319725E+01  3.030789495E-01
1.128648847E+01  4.249594808E-01
1.128977969E+01  3.433310688E-01
1.129307090E+01  3.187646270E-01
1.129636212E+01  2.331928164E-01
1.129965333E+01  1.849112362E-01
1.130294455E+01  1.219001859E-01
1.130623577E+01  4.938334972E-02
1.130952698E+01  1.109472662E-01
1.131281820E+01  9.512744844E-02
1.131610942E+01  1.490800232E-01
1.131940063E+01  2.895223498E-01
1.132269185E+01  3.998480737E-01
1.132598307E+01  5.531185865E-01
1.132927428E+01  6.074073911E-01
1.133256550E+01  5.832399726E-01
1.133585671E+01  6.158971786E-01
1.133914793E+01  6.342247725E-01
1.134243915E+01  6.711411476E-01
1.134573036E+01  6.050205827E-01
1.134902158E+01  5.480576158E-01
1.135231280E+01  4.722554684E-01
1.135560401E+01  2.945303321E-01
1.135889523E+01  2.896503806E-01
1.136218645E+01  3.303490281E-01
1.136547766E+01  3.032222390E-01
1.136876888E+01  3.831808269E-01
1.137206010E+01  4.054310918E-01
1.137535131E+01  5.302544236E-01
1.137864253E+01  5.209233165E-01
