# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.326416731E-01
1.021026071E+01  5.629756451E-01
1.021355192E+01  7.513006926E-01
1.021684314E+01  1.167014956E+00
1.022013436E+01  1.051792145E+00
1.022342557E+01  1.248949766E+00
1.022671679E+01  1.090561152E+00
1.023000800E+01  6.199513078E-01
1.023329922E+01  5.743440390E-01
1.023659044E+01  9.012498707E-02
1.023988165E+01  -2.044231296E-01
1.024317287E+01  -6.159727573E-01
1.024646409E+01  -4.085309803E-01
1.024975530E+01  -2.748802006E-01
1.025304652E+01  1.320730001E-01
1.025633774E+01  2.016607225E-01
1.025962895E+01  3.480037153E-01
1.026292017E+01  3.906798065E-01
1.026621138E+01  6.113994122E-01
1.026950260E+01  5.796166882E-02
1.027279382E+01  -3.298566490E-02
1.027608503E+01  3.537752852E-02
1.027937625E+01  -1.251397841E-02
1.028266747E+01  -1.305813938E-01
1.028595868E+01  1.587641686E-01
1.028924990E+01  2.105891556E-01
1.029254112E+01  -8.192968369E-02
1.029583233E+01  -9.337013960E-02
1.029912355E+01  -1.225487739E-01
1.030241477E+01  -2.194507271E-01
1.030570598E+01  -5.607054755E-02
1.030899720E+01  3.407387733E-01
1.031228841E+01  3.818379045E-01
1.031557963E+01  4.810114205E-01
1.031887085E+01  6.651534438E-01
1.032216206E+01  7.559128404E-01
1.032545328E+01  7.109265924E-01
1.032874450E+01  3.766832054E-01
1.033203571E+01  3.661268577E-02
1.033532693E+01  -3.595997393E-01
1.033861815E+01  -3.302874267E-01
1.034190936E+01  -1.176857650E-01
1.034520058E+01  -1.230414212E-01
1.034849179E+01  -4.519149959E-01
1.035178301E+01  -3.025698662E-01
1.035507423E+01  -1.216368228E-01
1.035836544E+01  -2.238240652E-02
1.036165666E+01  2.218702137E-01
1.036494788E+01  2.369804829E-01
1.036823909E+01  7.527876645E-02
1.037153031E+01  2.907252014E-01
1.037482153E+01  5.317850113E-01
1.037811274E+01  6.290683746E-01
1.038140396E+01  1.006818414E+00
1.038469518E+01  1.212583303E+00
1.038798639E+01  1.653827071E+00
1.039127761E+01  1.849785447E+00
1.039456882E+01  1.710618734E+00
1.039786004E+01  9.616624713E-01
1.040115126E+01  7.411481738E-01
1.040444247E+01  5.787476301E-01
1.040773369E+01  6.461194158E-01
1.041102491E+01  6.254161000E-01
1.041431612E+01  5.117220879E-01
1.041760734E+01  2.011243403E-01
1.042089856E+01  1.322378367E-01
1.042418977E+01  1.836787164E-01
1.042748099E+01  2.734868228E-01
1.043077220E+01  2.763715982E-01
1.043406342E+01  3.012064099E-01
1.043735464E+01  4.346486032E-01
1.044064585E+01  4.431343675E-01
1.044393707E+01  2.912617624E-01
1.044722829E+01  1.986921066E-03
1.045051950E+01  -8.256985992E-02
1.045381072E+01  -1.069531664E-01
1.045710194E+01  -1.885011941E-01
1.046039315E+01  -9.003137797E-02
1.046368437E+01  4.752134532E-02
1.046697559E+01  2.937418818E-01
1.047026680E+01  4.056208730E-01
