# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  4.580004215E-01
1.021026071E+01  6.450720429E-01
1.021355192E+01  1.644897461E+00
1.021684314E+01  1.906194806E+00
1.022013436E+01  9.919403195E-01
1.022342557E+01  4.296343029E-01
1.022671679E+01  3.565702736E-01
1.023000800E+01  -1.859554052E-01
1.023329922E+01  -7.660590857E-02
1.023659044E+01  1.029327661E-01
1.023988165E+01  2.558531761E-01
1.024317287E+01  -2.680830657E-01
1.024646409E+01  -5.028268099E-01
1.024975530E+01  -4.649763107E-01
1.025304652E+01  -3.314319253E-02
1.025633774E+01  -2.287778817E-02
1.025962895E+01  4.439235926E-01
1.026292017E+01  5.336490273E-01
1.026621138E+01  6.511041522E-01
1.026950260E+01  3.135928810E-01
1.027279382E+01  2.105052620E-01
1.027608503E+01  1.310341954E-01
1.027937625E+01  9.434491396E-02
1.028266747E+01  1.636881754E-02
1.028595868E+01  2.073856257E-02
1.028924990E+01  3.811232373E-02
1.029254112E+01  2.875491604E-02
1.029583233E+01  9.231757373E-02
1.029912355E+01  -9.798582643E-02
1.030241477E+01  -3.678749502E-01
1.030570598E+01  -3.552881777E-01
1.030899720E+01  5.918333307E-02
1.031228841E+01  3.674022853E-01
1.031557963E+01  2.328065932E-01
1.031887085E+01  1.690633148E-01
1.032216206E+01  1.562835872E-01
1.032545328E+01  4.148547649E-01
1.032874450E+01  5.761469007E-01
1.033203571E+01  5.861111879E-01
1.033532693E+01  2.540502846E-01
1.033861815E+01  3.175459802E-02
1.034190936E+01  -1.197659150E-01
1.034520058E+01  -3.481402099E-01
1.034849179E+01  -4.448035955E-01
1.035178301E+01  -1.891708374E-01
1.035507423E+01  4.769301787E-02
1.035836544E+01  7.782459259E-02
1.036165666E+01  -1.266932767E-02
1.036494788E+01  -2.439620160E-02
1.036823909E+01  -3.944597673E-03
1.037153031E+01  3.057129979E-01
1.037482153E+01  2.901832759E-01
1.037811274E+01  2.680195272E-01
1.038140396E+01  3.669430017E-01
1.038469518E+01  6.361109018E-01
1.038798639E+01  8.739166856E-01
1.039127761E+01  1.169627428E+00
1.039456882E+01  1.179825544E+00
1.039786004E+01  9.280967712E-01
1.040115126E+01  7.523784637E-01
1.040444247E+01  5.225154161E-01
1.040773369E+01  5.135596395E-01
1.041102491E+01  4.598429203E-01
1.041431612E+01  3.685104251E-01
1.041760734E+01  9.232899547E-02
1.042089856E+01  2.704571486E-01
