# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.246910691E-01
1.021026071E+01  2.489693314E-01
1.021355192E+01  6.376826167E-01
1.021684314E+01  8.576442599E-01
1.022013436E+01  6.015475988E-01
1.022342557E+01  4.585213065E-01
1.022671679E+01  4.460738003E-01
1.023000800E+01  3.629567847E-02
1.023329922E+01  2.306644171E-01
1.023659044E+01  -2.148632705E-01
1.023988165E+01  -3.492529094E-01
1.024317287E+01  -3.493514955E-01
1.024646409E+01  -2.680007741E-02
1.024975530E+01  2.415932342E-02
1.025304652E+01  4.242172837E-02
1.025633774E+01  1.139284223E-01
1.025962895E+01  2.588544190E-01
1.026292017E+01  9.691698104E-02
1.026621138E+01  5.353361741E-02
1.026950260E+01  -1.542510539E-01
1.027279382E+01  -2.071954608E-01
1.027608503E+01  -3.530729190E-02
1.027937625E+01  2.457579225E-01
1.028266747E+01  3.195321262E-01
1.028595868E+01  3.343876600E-01
1.028924990E+01  2.891188562E-01
1.029254112E+01  2.613122165E-01
1.029583233E+01  1.905155778E-01
1.029912355E+01  -5.565091968E-02
1.030241477E+01  -3.210590482E-01
1.030570598E+01  -4.215302467E-01
1.030899720E+01  -1.312531382E-01
1.031228841E+01  1.724058390E-01
1.031557963E+01  7.987986505E-02
1.031887085E+01  -1.994217634E-01
1.032216206E+01  -6.884707138E-03
1.032545328E+01  4.888020456E-01
1.032874450E+01  5.138084888E-01
1.033203571E+01  4.299197495E-01
1.033532693E+01  2.745414972E-01
1.033861815E+01  8.524414152E-02
1.034190936E+01  -4.361959547E-02
