# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  4.869648218E-01
1.021026071E+01  3.285353184E-01
1.021355192E+01  1.093503237E+00
1.021684314E+01  1.437687755E+00
1.022013436E+01  1.081392884E+00
1.022342557E+01  8.358168006E-01
1.022671679E+01  8.840907812E-01
1.023000800E+01  2.685410082E-01
1.023329922E+01  2.372090816E-01
1.023659044E+01  -1.174807083E-03
1.023988165E+01  -3.805747628E-02
1.024317287E+01  -1.533481181E-01
1.024646409E+01  1.013464034E-01
1.024975530E+01  2.550019026E-01
1.025304652E+01  6.468972564E-02
1.025633774E+01  1.062239185E-01
1.025962895E+01  9.823953360E-02
1.026292017E+01  1.167248860E-01
1.026621138E+01  2.062033117E-01
1.026950260E+01  5.669292808E-02
1.027279382E+01  8.432143927E-02
1.027608503E+01  5.422110111E-02
1.027937625E+01  -8.875084668E-02
1.028266747E+01  -3.502313495E-01
1.028595868E+01  -2.353275418E-01
1.028924990E+01  -8.429146558E-02
1.029254112E+01  -7.186011225E-02
1.029583233E+01  6.674722582E-02
1.029912355E+01  1.712286621E-01
1.030241477E+01  2.790412121E-02
1.030570598E+01  -4.119755328E-02
1.030899720E+01  -4.515139386E-02
1.031228841E+01  -6.579917669E-02
1.031557963E+01  -6.133321300E-02
1.031887085E+01  1.049451753E-01
1.032216206E+01  1.605626494E-01
1.032545328E+01  4.025523663E-01
1.032874450E+01  4.415344000E-01
1.033203571E+01  3.071035147E-01
1.033532693E+01  2.843750268E-02
1.033861815E+01  -6.757459044E-02
1.034190936E+01  -1.107255556E-02
1.034520058E+01  1.089862436E-01
1.034849179E+01  -4.229433462E-02
1.035178301E+01  1.789720207E-01
1.035507423E+01  2.807759345E-01
1.035836544E+01  3.814953193E-02
1.036165666E+01  -1.505129635E-01
1.036494788E+01  -2.204823196E-01
1.036823909E+01  -3.522323072E-01
1.037153031E+01  8.624463528E-02
1.037482153E+01  3.245737255E-01
1.037811274E+01  4.703020155E-01
1.038140396E+01  7.504644394E-01
1.038469518E+01  8.050484061E-01
1.038798639E+01  8.929477334E-01
1.039127761E+01  1.285470843E+00
1.039456882E+01  1.275929928E+00
1.039786004E+01  7.825852633E-01
1.040115126E+01  4.150798023E-01
1.040444247E+01  2.694492936E-01
1.040773369E+01  4.526100755E-01
1.041102491E+01  4.015634060E-01
1.041431612E+01  2.125582397E-01
1.041760734E+01  -6.578855962E-02
1.042089856E+01  5.101898685E-02
1.042418977E+01  1.305011362E-01
1.042748099E+01  1.665100008E-01
1.043077220E+01  1.795550734E-01
1.043406342E+01  2.355534732E-01
1.043735464E+01  4.744773209E-01
1.044064585E+01  4.385912716E-01
1.044393707E+01  1.789941043E-01
1.044722829E+01  -3.792983666E-02
1.045051950E+01  3.115463443E-02
1.045381072E+01  -5.202915147E-02
1.045710194E+01  -7.020293921E-02
1.046039315E+01  4.371077567E-02
1.046368437E+01  -3.289795294E-02
1.046697559E+01  -8.527885377E-02
1.047026680E+01  1.615905613E-01
1.047355802E+01  1.822795570E-01
1.047684923E+01  1.952624023E-01
1.048014045E+01  3.457434177E-01
1.048343167E+01  4.138239920E-01
1.048672288E+01  1.412705481E-01
1.049001410E+01  2.545782924E-02
1.049330532E+01  1.216808483E-01
1.049659653E+01  1.872073114E-01
1.049988775E+01  2.242473215E-01
1.050317897E+01  9.573325515E-02
1.050647018E+01  6.168711931E-02
1.050976140E+01  1.662053913E-01
1.051305261E+01  1.645477265E-01
1.051634383E+01  1.204003170E-01
1.051963505E+01  -8.854707330E-02
1.052292626E+01  3.951855004E-02
1.052621748E+01  1.900207251E-01
1.052950870E+01  3.532303572E-01
1.053279991E+01  3.640882969E-01
1.053609113E+01  2.679765821E-01
1.053938235E+01  2.264735550E-01
1.054267356E+01  2.441796213E-01
1.054596478E+01  2.669350505E-01
1.054925600E+01  3.298666775E-01
1.055254721E+01  3.159422576E-01
1.055583843E+01  2.957703471E-01
1.055912964E+01  1.809045225E-01
1.056242086E+01  1.457955390E-01
1.056571208E+01  2.106656879E-01
1.056900329E+01  2.676156759E-01
1.057229451E+01  2.913398445E-01
1.057558573E+01  4.080683291E-01
1.057887694E+01  3.819391429E-01
1.058216816E+01  2.845155299E-01
1.058545938E+01  1.259611249E-01
1.058875059E+01  2.359299511E-01
1.059204181E+01  3.509695530E-01
1.059533302E+01  3.617669344E-01
1.059862424E+01  2.608662248E-01
1.060191546E+01  1.779169403E-02
1.060520667E+01  1.706453115E-01
1.060849789E+01  1.877954453E-01
1.061178911E+01  3.280805349E-01
1.061508032E+01  4.186879396E-01
1.061837154E+01  3.794554770E-01
1.062166276E+01  4.925103784E-01
1.062495397E+01  4.293861389E-01
1.062824519E+01  4.514286816E-01
1.063153641E+01  2.996896803E-01
1.063482762E+01  3.534942865E-01
1.063811884E+01  5.150567889E-01
1.064141005E+01  7.293400168E-01
1.064470127E+01  8.242301941E-01
1.064799249E+01  6.807112694E-01
1.065128370E+01  6.517836452E-01
1.065457492E+01  4.789977372E-01
1.065786614E+01  3.469907343E-01
1.066115735E+01  2.254360467E-01
1.066444857E+01  1.406278461E-01
1.066773979E+01  -4.846361652E-02
1.067103100E+01  -5.532046035E-02
1.067432222E+01  -6.036838517E-02
1.067761343E+01  -5.850417167E-02
1.068090465E+01  -9.944067150E-02
1.068419587E+01  -4.888984840E-03
1.068748708E+01  2.225622684E-01
1.069077830E+01  3.518414199E-01
1.069406952E+01  3.560367227E-01
1.069736073E+01  2.602337301E-01
1.070065195E+01  3.377491534E-01
1.070394317E+01  4.410499632E-01
1.070723438E+01  4.560525119E-01
1.071052560E+01  6.144612432E-01
1.071381682E+01  7.192193270E-01
1.071710803E+01  5.800515413E-01
1.072039925E+01  3.152518272E-01
1.072369046E+01  2.167506218E-01
1.072698168E+01  1.831136048E-01
1.073027290E+01  2.351008356E-01
1.073356411E+01  2.396943569E-01
1.073685533E+01  3.492986858E-01
1.074014655E+01  3.956348896E-01
1.074343776E+01  4.436470866E-01
1.074672898E+01  4.302086830E-01
1.075002020E+01  2.911191881E-01
1.075331141E+01  2.174931169E-01
1.075660263E+01  1.841420978E-01
1.075989384E+01  1.108383685E-01
1.076318506E+01  8.147587627E-02
1.076647628E+01  1.139352247E-01
1.076976749E+01  3.228301406E-01
1.077305871E+01  3.418154120E-01
1.077634993E+01  3.529219031E-01
1.077964114E+01  2.684947550E-01
1.078293236E+01  2.288664132E-01
1.078622358E+01  3.602891862E-01
1.078951479E+01  4.425102174E-01
1.079280601E+01  4.627828896E-01
1.079609723E+01  4.544076324E-01
1.079938844E+01  4.446138740E-01
1.080267966E+01  5.067372322E-01
1.080597087E+01  4.087964296E-01
1.080926209E+01  5.119068623E-01
1.081255331E+01  4.852196574E-01
1.081584452E+01  5.247166753E-01
1.081913574E+01  3.979833722E-01
1.082242696E+01  4.979142249E-01
1.082571817E+01  4.643231928E-01
1.082900939E+01  6.576005816E-01
1.083230061E+01  5.137399435E-01
1.083559182E+01  4.537202716E-01
1.083888304E+01  4.748123884E-01
1.084217425E+01  6.485354900E-01
1.084546547E+01  6.316336989E-01
1.084875669E+01  3.908247948E-01
1.085204790E+01  3.486399353E-01
1.085533912E+01  2.899386883E-01
1.085863034E+01  1.623404026E-01
1.086192155E+01  1.056477204E-01
1.086521277E+01  3.126308322E-02
1.086850399E+01  -7.991773076E-03
1.087179520E+01  -8.548250049E-02
1.087508642E+01  -9.628350288E-02
1.087837764E+01  8.532656729E-02
1.088166885E+01  3.130934536E-01
1.088496007E+01  3.873361647E-01
1.088825128E+01  4.099310637E-01
1.089154250E+01  2.828329504E-01
1.089483372E+01  3.699944913E-01
1.089812493E+01  2.894700766E-01
1.090141615E+01  3.138550222E-01
1.090470737E+01  3.761478961E-01
1.090799858E+01  5.165735483E-01
1.091128980E+01  5.352931023E-01
1.091458102E+01  5.092382431E-01
1.091787223E+01  5.107629895E-01
1.092116345E+01  5.067401528E-01
1.092445466E+01  5.713556409E-01
1.092774588E+01  4.438678622E-01
1.093103710E+01  4.128047824E-01
1.093432831E+01  2.777636349E-01
1.093761953E+01  3.698787391E-01
1.094091075E+01  3.789402544E-01
1.094420196E+01  2.113025337E-01
1.094749318E+01  1.414124817E-01
1.095078440E+01  2.611464560E-01
1.095407561E+01  2.569405138E-01
1.095736683E+01  3.266748190E-01
1.096065805E+01  3.202385008E-01
1.096394926E+01  4.795800149E-01
1.096724048E+01  4.958779812E-01
1.097053169E+01  5.162723064E-01
1.097382291E+01  3.739599884E-01
1.097711413E+01  2.153932750E-01
1.098040534E+01  1.438420713E-01
1.098369656E+01  2.613785267E-01
