# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  9.015617371E-01
1.021026071E+01  9.291289449E-01
1.021355192E+01  9.205772281E-01
1.021684314E+01  1.231131673E+00
1.022013436E+01  7.981730700E-01
1.022342557E+01  8.290520906E-01
1.022671679E+01  6.716116667E-01
1.023000800E+01  4.193793610E-02
1.023329922E+01  -8.679367602E-02
1.023659044E+01  -1.046497226E-01
1.023988165E+01  -1.818731129E-01
1.024317287E+01  -3.245134354E-01
1.024646409E+01  -1.659270972E-01
1.024975530E+01  -1.990454495E-01
1.025304652E+01  -2.905829251E-01
1.025633774E+01  -2.220444083E-01
1.025962895E+01  9.962018579E-02
1.026292017E+01  1.325417608E-01
1.026621138E+01  2.641222179E-01
1.026950260E+01  4.995665979E-03
1.027279382E+01  1.243010312E-01
1.027608503E+01  3.137151599E-01
1.027937625E+01  4.708119333E-01
1.028266747E+01  2.667712867E-01
1.028595868E+01  2.357111275E-01
1.028924990E+01  1.026742347E-02
1.029254112E+01  -1.852542162E-01
1.029583233E+01  -3.328235447E-01
1.029912355E+01  -1.263177693E-01
1.030241477E+01  -9.778585285E-02
1.030570598E+01  -1.062193960E-01
1.030899720E+01  -3.589634597E-02
1.031228841E+01  2.495075911E-01
1.031557963E+01  2.265015692E-01
1.031887085E+01  3.535915911E-02
1.032216206E+01  1.086133495E-01
1.032545328E+01  4.138130844E-01
1.032874450E+01  4.307855964E-01
1.033203571E+01  7.729914784E-02
1.033532693E+01  -3.558272123E-01
1.033861815E+01  -2.460523248E-01
1.034190936E+01  -1.076466516E-01
1.034520058E+01  -1.857363433E-02
1.034849179E+01  -3.292368650E-01
1.035178301E+01  -1.627656966E-01
1.035507423E+01  -1.613497287E-01
1.035836544E+01  -9.299936146E-02
1.036165666E+01  6.766892225E-02
1.036494788E+01  1.232242733E-01
1.036823909E+01  6.706473976E-02
1.037153031E+01  2.050663531E-01
1.037482153E+01  2.699633241E-01
1.037811274E+01  2.871768177E-01
