# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  3.324948847E-01
1.021026071E+01  6.641740799E-01
1.021355192E+01  1.553187132E+00
1.021684314E+01  1.570175290E+00
1.022013436E+01  1.602458119E+00
1.022342557E+01  1.434625149E+00
1.022671679E+01  1.310150504E+00
1.023000800E+01  5.837700367E-01
1.023329922E+01  3.006990850E-01
1.023659044E+01  3.168326616E-02
1.023988165E+01  2.114042640E-02
1.024317287E+01  3.763072193E-02
1.024646409E+01  3.533397913E-01
1.024975530E+01  4.941794574E-01
1.025304652E+01  4.601917267E-01
1.025633774E+01  4.508604407E-01
1.025962895E+01  7.778128386E-01
1.026292017E+01  3.224990666E-01
1.026621138E+01  3.086666167E-01
1.026950260E+01  2.879846692E-01
1.027279382E+01  6.153936386E-01
1.027608503E+01  4.481408596E-01
1.027937625E+01  4.689488187E-02
1.028266747E+01  -3.859877884E-01
1.028595868E+01  -4.179257154E-01
1.028924990E+01  -1.334785223E-01
1.029254112E+01  1.284404695E-01
1.029583233E+01  1.759748012E-01
1.029912355E+01  1.070839688E-01
1.030241477E+01  2.323606908E-01
1.030570598E+01  2.749372721E-01
1.030899720E+01  1.707111746E-01
1.031228841E+01  3.610164523E-01
1.031557963E+01  5.749548078E-01
1.031887085E+01  7.180622220E-01
1.032216206E+01  3.261364996E-01
1.032545328E+01  4.296500981E-01
1.032874450E+01  2.043572515E-01
1.033203571E+01  2.039052248E-01
1.033532693E+01  -6.855415180E-03
1.033861815E+01  -9.986247122E-02
1.034190936E+01  -2.468856424E-01
1.034520058E+01  -2.473141402E-01
1.034849179E+01  -2.502588928E-01
1.035178301E+01  -5.015444383E-02
1.035507423E+01  -1.090529487E-01
1.035836544E+01  -2.037838101E-01
1.036165666E+01  1.828503609E-02
1.036494788E+01  3.726020753E-01
1.036823909E+01  3.456145227E-01
1.037153031E+01  4.456958175E-01
1.037482153E+01  4.034552276E-01
1.037811274E+01  5.344919562E-01
1.038140396E+01  7.416570783E-01
1.038469518E+01  9.893854856E-01
1.038798639E+01  9.884036183E-01
1.039127761E+01  1.145696878E+00
1.039456882E+01  1.077673197E+00
1.039786004E+01  6.756792068E-01
1.040115126E+01  4.718046486E-01
1.040444247E+01  2.873631418E-01
1.040773369E+01  2.992997169E-01
1.041102491E+01  2.134552151E-01
1.041431612E+01  2.302732021E-01
1.041760734E+01  1.580420434E-01
1.042089856E+01  4.033048451E-01
1.042418977E+01  2.536962926E-01
1.042748099E+01  2.527672350E-01
1.043077220E+01  3.499166369E-01
1.043406342E+01  3.389548063E-01
1.043735464E+01  7.805988938E-02
1.044064585E+01  1.056769714E-01
1.044393707E+01  3.097093999E-01
1.044722829E+01  3.613156378E-01
1.045051950E+01  1.501377076E-01
1.045381072E+01  2.274830826E-02
1.045710194E+01  1.450339332E-02
1.046039315E+01  4.225015640E-02
1.046368437E+01  -9.275775403E-03
1.046697559E+01  -3.673030436E-02
1.047026680E+01  1.912896484E-01
1.047355802E+01  3.783299923E-01
1.047684923E+01  6.393494010E-01
1.048014045E+01  5.903962255E-01
1.048343167E+01  3.888383210E-01
1.048672288E+01  6.085963175E-02
1.049001410E+01  5.314250290E-02
1.049330532E+01  1.636606455E-01
1.049659653E+01  2.219788581E-01
1.049988775E+01  4.690862596E-01
1.050317897E+01  3.315948248E-01
1.050647018E+01  1.350439638E-01
1.050976140E+01  8.846905082E-02
1.051305261E+01  8.511599153E-02
1.051634383E+01  8.635998517E-02
1.051963505E+01  7.551907003E-02
1.052292626E+01  1.000151336E-01
1.052621748E+01  8.961507678E-02
1.052950870E+01  1.324441433E-01
1.053279991E+01  1.582278460E-01
1.053609113E+01  9.135855734E-02
1.053938235E+01  1.546741873E-01
1.054267356E+01  2.426939458E-01
1.054596478E+01  3.222244382E-01
1.054925600E+01  2.914171219E-01
1.055254721E+01  3.390890658E-01
1.055583843E+01  5.330196619E-01
1.055912964E+01  5.181672573E-01
1.056242086E+01  4.095533490E-01
1.056571208E+01  3.433260620E-01
1.056900329E+01  4.958642721E-01
1.057229451E+01  4.620067179E-01
1.057558573E+01  3.738712668E-01
1.057887694E+01  2.766092718E-01
1.058216816E+01  2.499751449E-01
1.058545938E+01  1.567433923E-01
1.058875059E+01  1.468074322E-01
1.059204181E+01  3.574712873E-01
1.059533302E+01  4.672357440E-01
1.059862424E+01  4.151713550E-01
1.060191546E+01  3.142406046E-01
1.060520667E+01  5.075315237E-01
1.060849789E+01  4.767268896E-01
1.061178911E+01  4.890328348E-01
1.061508032E+01  5.573078394E-01
1.061837154E+01  5.665675402E-01
1.062166276E+01  5.726221800E-01
1.062495397E+01  3.463469446E-01
1.062824519E+01  3.403561711E-01
1.063153641E+01  2.542915046E-01
1.063482762E+01  4.005314410E-01
1.063811884E+01  4.927578270E-01
1.064141005E+01  5.856178999E-01
1.064470127E+01  7.048292756E-01
1.064799249E+01  4.547905624E-01
1.065128370E+01  3.227054477E-01
1.065457492E+01  1.541474313E-01
1.065786614E+01  2.175970376E-01
1.066115735E+01  3.235298693E-01
1.066444857E+01  4.003748894E-01
1.066773979E+01  3.545933366E-01
1.067103100E+01  2.157104462E-01
1.067432222E+01  4.072696343E-02
1.067761343E+01  -3.213189170E-02
1.068090465E+01  1.349299997E-01
1.068419587E+01  1.021322012E-01
1.068748708E+01  1.072112396E-01
1.069077830E+01  1.127457842E-01
1.069406952E+01  3.171610534E-01
1.069736073E+01  2.677154243E-01
1.070065195E+01  1.582498550E-01
1.070394317E+01  9.134449810E-02
1.070723438E+01  2.241115570E-01
1.071052560E+01  3.640729487E-01
1.071381682E+01  3.632948399E-01
1.071710803E+01  1.677984595E-01
1.072039925E+01  2.314414233E-01
1.072369046E+01  2.571448088E-01
1.072698168E+01  2.490077168E-01
1.073027290E+01  1.153726801E-01
1.073356411E+01  2.233997583E-01
1.073685533E+01  3.010172844E-01
1.074014655E+01  3.348549902E-01
1.074343776E+01  3.168334961E-01
1.074672898E+01  3.078269660E-01
1.075002020E+01  3.148441315E-01
1.075331141E+01  3.327029049E-01
1.075660263E+01  3.348979652E-01
1.075989384E+01  3.709670305E-01
1.076318506E+01  2.497720271E-01
1.076647628E+01  8.946875110E-03
1.076976749E+01  -1.381130423E-02
1.077305871E+01  1.125030071E-01
1.077634993E+01  2.248124778E-01
1.077964114E+01  2.078102529E-01
1.078293236E+01  3.381953537E-01
1.078622358E+01  3.541193008E-01
1.078951479E+01  4.220048487E-01
1.079280601E+01  3.556431830E-01
1.079609723E+01  4.171696603E-01
1.079938844E+01  3.262811303E-01
1.080267966E+01  2.207709849E-01
1.080597087E+01  8.547653258E-02
1.080926209E+01  2.917793095E-01
1.081255331E+01  4.469159544E-01
1.081584452E+01  6.493960023E-01
1.081913574E+01  5.927129388E-01
1.082242696E+01  4.960742891E-01
1.082571817E+01  2.334640622E-01
1.082900939E+01  2.868670225E-01
1.083230061E+01  2.580388784E-01
1.083559182E+01  2.167348564E-01
1.083888304E+01  2.961618900E-01
1.084217425E+01  4.904335141E-01
1.084546547E+01  6.440508962E-01
1.084875669E+01  4.746467769E-01
1.085204790E+01  2.117359191E-01
1.085533912E+01  -3.635138273E-02
1.085863034E+01  -1.144889370E-01
1.086192155E+01  3.738239035E-02
1.086521277E+01  5.336980149E-02
1.086850399E+01  -3.787966445E-02
1.087179520E+01  -1.411448717E-01
1.087508642E+01  -6.019434333E-02
1.087837764E+01  8.799291402E-02
1.088166885E+01  2.087128907E-01
1.088496007E+01  1.674618721E-01
1.088825128E+01  3.075880706E-01
1.089154250E+01  2.285918593E-01
1.089483372E+01  2.807355821E-01
1.089812493E+01  2.941161990E-01
1.090141615E+01  4.462895095E-01
1.090470737E+01  4.969751835E-01
1.090799858E+01  4.448331296E-01
1.091128980E+01  3.921504617E-01
1.091458102E+01  2.472313344E-01
1.091787223E+01  3.623380959E-01
1.092116345E+01  5.177899599E-01
1.092445466E+01  6.433057785E-01
1.092774588E+01  4.163939953E-01
1.093103710E+01  2.291664183E-01
1.093432831E+01  6.211760268E-02
1.093761953E+01  1.576325744E-01
1.094091075E+01  3.352638781E-01
1.094420196E+01  3.605213165E-01
1.094749318E+01  3.954830170E-01
1.095078440E+01  3.329552710E-01
1.095407561E+01  3.715620041E-01
1.095736683E+01  3.743578494E-01
1.096065805E+01  3.624632061E-01
1.096394926E+01  2.497206628E-01
1.096724048E+01  2.911031246E-01
1.097053169E+01  4.060637057E-01
1.097382291E+01  3.266213834E-01
1.097711413E+01  1.191876754E-01
1.098040534E+01  2.473950572E-02
1.098369656E+01  2.320429832E-01
1.098698778E+01  4.693196416E-01
1.099027899E+01  4.672592282E-01
1.099357021E+01  4.144553244E-01
1.099686143E+01  2.261317372E-01
1.100015264E+01  3.129995465E-01
1.100344386E+01  3.732768893E-01
1.100673507E+01  5.728514791E-01
1.101002629E+01  6.123189926E-01
1.101331751E+01  6.792212129E-01
1.101660872E+01  5.388455391E-01
1.101989994E+01  4.501363039E-01
1.102319116E+01  4.724330306E-01
1.102648237E+01  4.070871770E-01
1.102977359E+01  4.638727009E-01
1.103306481E+01  3.646419048E-01
1.103635602E+01  3.424260616E-01
1.103964724E+01  2.104098499E-01
1.104293846E+01  2.446648329E-01
1.104622967E+01  2.752310038E-01
1.104952089E+01  4.410377443E-01
1.105281210E+01  5.426526666E-01
1.105610332E+01  4.438538849E-01
1.105939454E+01  5.135064721E-01
1.106268575E+01  3.812652528E-01
1.106597697E+01  2.719055712E-01
1.106926819E+01  1.351869106E-01
1.107255940E+01  1.227577925E-01
1.107585062E+01  1.402444690E-01
1.107914184E+01  1.612329930E-01
1.108243305E+01  1.886835247E-01
1.108572427E+01  3.080213666E-01
1.108901548E+01  3.368314803E-01
1.109230670E+01  4.344860613E-01
1.109559792E+01  3.392281234E-01
1.109888913E+01  1.429802775E-01
1.110218035E+01  5.738657713E-02
1.110547157E+01  8.611179888E-02
1.110876278E+01  2.263099998E-01
1.111205400E+01  4.548324049E-01
1.111534522E+01  5.171746016E-01
1.111863643E+01  4.433150589E-01
1.112192765E+01  4.730033576E-01
1.112521887E+01  4.368990660E-01
1.112851008E+01  3.372000754E-01
1.113180130E+01  3.971687555E-01
1.113509251E+01  5.242172480E-01
1.113838373E+01  6.208538413E-01
1.114167495E+01  5.230727792E-01
1.114496616E+01  3.074106872E-01
1.114825738E+01  3.174360096E-02
1.115154860E+01  -8.241341449E-03
1.115483981E+01  9.928328544E-02
1.115813103E+01  2.100221217E-01
1.116142225E+01  1.040562242E-01
1.116471346E+01  2.199568450E-01
1.116800468E+01  3.698103130E-01
1.117129589E+01  4.327481091E-01
1.117458711E+01  1.966045648E-01
1.117787833E+01  8.817673475E-02
1.118116954E+01  1.431769431E-01
1.118446076E+01  1.043916419E-01
1.118775198E+01  1.302452534E-01
1.119104319E+01  1.633904725E-01
1.119433441E+01  2.390130609E-01
1.119762563E+01  1.887293756E-01
1.120091684E+01  1.824869365E-01
1.120420806E+01  1.028253585E-01
1.120749928E+01  -2.896027872E-03
1.121079049E+01  -2.346086502E-02
1.121408171E+01  1.852060258E-01
1.121737292E+01  2.083648145E-01
1.122066414E+01  3.823933303E-01
1.122395536E+01  4.112564921E-01
1.122724657E+01  3.454319537E-01
1.123053779E+01  2.336082906E-01
1.123382901E+01  2.623638809E-01
1.123712022E+01  3.414855599E-01
1.124041144E+01  4.257477820E-01
1.124370266E+01  4.447908998E-01
1.124699387E+01  3.605094850E-01
1.125028509E+01  3.083677590E-01
1.125357630E+01  2.280253172E-01
1.125686752E+01  1.886641085E-01
1.126015874E+01  1.753166765E-01
1.126344995E+01  1.805705726E-01
1.126674117E+01  1.930593848E-01
1.127003239E+01  1.737868637E-01
1.127332360E+01  8.079271764E-02
1.127661482E+01  1.294418275E-01
1.127990604E+01  1.674757302E-01
1.128319725E+01  2.197189927E-01
1.128648847E+01  2.452898920E-01
1.128977969E+01  1.959176660E-01
1.129307090E+01  1.302155405E-01
1.129636212E+01  9.107733518E-02
1.129965333E+01  1.156042367E-01
1.130294455E+01  1.515267193E-01
1.130623577E+01  1.530554742E-01
1.130952698E+01  -9.397212416E-03
1.131281820E+01  -1.610207185E-02
1.131610942E+01  -2.499381825E-02
1.131940063E+01  1.484973431E-01
1.132269185E+01  2.047855407E-01
1.132598307E+01  2.666978240E-01
1.132927428E+01  2.881387770E-01
1.133256550E+01  3.367616236E-01
1.133585671E+01  3.824697733E-01
1.133914793E+01  4.940837622E-01
1.134243915E+01  4.601267874E-01
1.134573036E+01  4.474390149E-01
1.134902158E+01  3.742586374E-01
1.135231280E+01  2.828330398E-01
1.135560401E+01  1.804707944E-01
1.135889523E+01  8.251805604E-02
1.136218645E+01  4.773320258E-02
1.136547766E+01  5.922252312E-02
1.136876888E+01  2.111467272E-01
1.137206010E+01  2.778099179E-01
1.137535131E+01  3.893568814E-01
1.137864253E+01  5.207572579E-01
1.138193374E+01  5.391658545E-01
1.138522496E+01  5.136989951E-01
1.138851618E+01  4.731479883E-01
1.139180739E+01  4.822699726E-01
1.139509861E+01  4.565301538E-01
1.139838983E+01  3.999128342E-01
1.140168104E+01  3.875750601E-01
1.140497226E+01  3.407785594E-01
1.140826348E+01  2.493150681E-01
1.141155469E+01  2.455784231E-01
1.141484591E+01  1.857334822E-01
1.141813712E+01  8.800498396E-02
1.142142834E+01  1.050637737E-01
1.142471956E+01  3.206186593E-01
1.142801077E+01  4.208774269E-01
1.143130199E+01  3.928511441E-01
1.143459321E+01  2.226114422E-01
1.143788442E+01  2.857916951E-01
1.144117564E+01  3.187372983E-01
1.144446686E+01  4.057351053E-01
1.144775807E+01  2.847537100E-01
1.145104929E+01  2.381409854E-01
1.145434051E+01  2.840979695E-01
1.145763172E+01  2.062972337E-01
1.146092294E+01  2.578698993E-01
1.146421415E+01  2.589809000E-01
1.146750537E+01  2.985701561E-01
1.147079659E+01  2.336554527E-01
1.147408780E+01  2.678017318E-01
1.147737902E+01  4.368607402E-01
1.148067024E+01  4.521727860E-01
1.148396145E+01  3.709214330E-01
1.148725267E+01  2.293647677E-01
1.149054389E+01  1.553660482E-01
1.149383510E+01  1.823290288E-01
1.149712632E+01  2.622842491E-01
1.150041753E+01  1.366070658E-01
1.150370875E+01  1.105899811E-01
1.150699997E+01  9.750051051E-02
1.151029118E+01  2.301315218E-01
1.151358240E+01  3.600792885E-01
1.151687362E+01  5.486206412E-01
1.152016483E+01  6.124407053E-01
1.152345605E+01  5.379996300E-01
1.152674727E+01  4.102578461E-01
1.153003848E+01  4.431849122E-01
1.153332970E+01  4.602733552E-01
1.153662092E+01  4.586777985E-01
1.153991213E+01  4.109728932E-01
1.154320335E+01  3.507083654E-01
1.154649456E+01  4.363776445E-01
1.154978578E+01  4.445915222E-01
1.155307700E+01  4.848474860E-01
1.155636821E+01  4.049671292E-01
1.155965943E+01  1.966730058E-01
1.156295065E+01  1.034347117E-01
1.156624186E+01  4.197023809E-03
1.156953308E+01  1.243869960E-01
1.157282430E+01  2.546439171E-01
1.157611551E+01  3.930388689E-01
1.157940673E+01  2.919296920E-01
1.158269794E+01  3.301523626E-01
1.158598916E+01  3.659226000E-01
1.158928038E+01  4.165651798E-01
1.159257159E+01  4.512366056E-01
1.159586281E+01  5.176934600E-01
1.159915403E+01  6.723534465E-01
1.160244524E+01  7.464184165E-01
1.160573646E+01  5.689310431E-01
1.160902768E+01  3.686265647E-01
1.161231889E+01  2.411463559E-01
1.161561011E+01  2.137848139E-01
1.161890133E+01  1.676485240E-01
