# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.762979031E-01
1.021026071E+01  7.327246666E-01
1.021355192E+01  1.236618519E+00
1.021684314E+01  1.267811656E+00
1.022013436E+01  8.059964776E-01
1.022342557E+01  8.053769469E-01
1.022671679E+01  7.914394140E-01
1.023000800E+01  2.191682160E-01
1.023329922E+01  5.830555782E-02
1.023659044E+01  1.486853808E-01
1.023988165E+01  2.096746266E-01
1.024317287E+01  -5.537551641E-02
1.024646409E+01  7.649110164E-03
1.024975530E+01  1.791900247E-01
1.025304652E+01  2.010446191E-01
1.025633774E+01  -3.413612768E-02
1.025962895E+01  8.503440022E-02
1.026292017E+01  -1.673729122E-01
1.026621138E+01  -2.661425807E-02
1.026950260E+01  1.281398684E-01
1.027279382E+01  2.480523586E-01
1.027608503E+01  2.231461257E-01
1.027937625E+01  -3.179009259E-02
1.028266747E+01  -5.792791024E-02
1.028595868E+01  -2.883960903E-01
1.028924990E+01  -3.245244622E-01
1.029254112E+01  -3.868536353E-01
1.029583233E+01  1.490353346E-01
1.029912355E+01  1.817857474E-01
1.030241477E+01  -9.352838248E-02
1.030570598E+01  -3.395448625E-01
1.030899720E+01  1.017229706E-01
1.031228841E+01  3.671740294E-01
1.031557963E+01  2.867888212E-01
1.031887085E+01  2.998743653E-01
1.032216206E+01  4.235684574E-01
1.032545328E+01  7.665154338E-01
1.032874450E+01  6.371307969E-01
1.033203571E+01  4.102318883E-01
