# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  4.479052722E-01
1.021026071E+01  6.587837338E-01
1.021355192E+01  1.432434201E+00
1.021684314E+01  1.638557196E+00
1.022013436E+01  1.293037534E+00
1.022342557E+01  1.277982712E+00
1.022671679E+01  1.423896551E+00
1.023000800E+01  6.487368941E-01
1.023329922E+01  6.142220646E-02
1.023659044E+01  -5.815331340E-01
1.023988165E+01  -6.897608042E-01
1.024317287E+01  -4.732958376E-01
1.024646409E+01  2.829050422E-01
1.024975530E+01  6.807164550E-01
1.025304652E+01  7.037566304E-01
1.025633774E+01  1.696751267E-01
1.025962895E+01  2.615269423E-01
1.026292017E+01  4.176408350E-01
1.026621138E+01  7.798708081E-01
1.026950260E+01  4.160382152E-01
1.027279382E+01  1.580670625E-01
1.027608503E+01  -2.104997635E-01
1.027937625E+01  -2.187446356E-01
1.028266747E+01  -2.314155251E-01
1.028595868E+01  -1.785014011E-02
1.028924990E+01  1.967872530E-01
1.029254112E+01  2.575638294E-01
1.029583233E+01  3.412760496E-01
1.029912355E+01  2.060624510E-01
1.030241477E+01  -2.547940910E-01
1.030570598E+01  -4.132700264E-01
1.030899720E+01  -1.645585597E-01
1.031228841E+01  2.075320035E-01
1.031557963E+01  1.920492500E-01
1.031887085E+01  4.069838822E-01
1.032216206E+01  4.387114644E-01
1.032545328E+01  2.826511264E-01
1.032874450E+01  1.029494256E-01
1.033203571E+01  1.631844938E-01
1.033532693E+01  1.976380795E-01
1.033861815E+01  2.304613404E-02
1.034190936E+01  -2.476347238E-02
1.034520058E+01  9.609392285E-02
1.034849179E+01  3.674922884E-02
1.035178301E+01  3.145255893E-02
1.035507423E+01  -7.912780344E-02
1.035836544E+01  -2.535388060E-02
1.036165666E+01  1.325847022E-02
1.036494788E+01  -1.408250332E-01
1.036823909E+01  -2.984646559E-01
1.037153031E+01  2.446554601E-01
1.037482153E+01  4.834091961E-01
1.037811274E+01  5.697786212E-01
1.038140396E+01  7.000808120E-01
1.038469518E+01  1.015012264E+00
1.038798639E+01  1.314143181E+00
1.039127761E+01  1.410066366E+00
1.039456882E+01  1.176272631E+00
1.039786004E+01  8.590236902E-01
1.040115126E+01  7.685105205E-01
1.040444247E+01  5.048599243E-01
1.040773369E+01  2.832121849E-01
1.041102491E+01  1.128231809E-01
1.041431612E+01  -2.460213145E-03
1.041760734E+01  3.094709851E-02
1.042089856E+01  3.368170857E-01
1.042418977E+01  2.597738206E-01
1.042748099E+01  1.647309512E-01
1.043077220E+01  1.127330586E-01
1.043406342E+01  2.945350409E-01
1.043735464E+01  3.772809207E-01
1.044064585E+01  2.403836250E-01
1.044393707E+01  1.402305998E-02
1.044722829E+01  1.550067775E-02
1.045051950E+01  1.744390279E-01
1.045381072E+01  -1.029804200E-01
1.045710194E+01  -2.707663476E-01
1.046039315E+01  -1.735073179E-01
1.046368437E+01  -8.044527844E-03
1.046697559E+01  -1.153447200E-02
1.047026680E+01  1.552417725E-01
1.047355802E+01  2.817150950E-01
1.047684923E+01  2.508884966E-01
1.048014045E+01  3.564004898E-01
1.048343167E+01  4.663206041E-01
1.048672288E+01  6.224402785E-01
1.049001410E+01  4.305412173E-01
1.049330532E+01  2.865754962E-01
1.049659653E+01  2.000441402E-01
1.049988775E+01  4.661936164E-01
1.050317897E+01  3.573543727E-01
1.050647018E+01  2.151067555E-01
1.050976140E+01  3.787851632E-01
1.051305261E+01  4.783694148E-01
1.051634383E+01  3.586887717E-01
1.051963505E+01  -2.912810817E-02
1.052292626E+01  -9.943307936E-02
1.052621748E+01  9.161638469E-02
1.052950870E+01  1.875422150E-01
1.053279991E+01  2.867957056E-01
1.053609113E+01  1.232986301E-01
1.053938235E+01  7.457897812E-02
1.054267356E+01  5.189819261E-02
1.054596478E+01  1.609558016E-01
1.054925600E+01  3.167165518E-01
1.055254721E+01  3.173831403E-01
1.055583843E+01  4.055105150E-01
1.055912964E+01  2.373624295E-01
1.056242086E+01  1.403138638E-01
1.056571208E+01  8.517634124E-02
1.056900329E+01  2.111670524E-01
1.057229451E+01  3.838512003E-01
1.057558573E+01  4.098551571E-01
1.057887694E+01  3.548251987E-01
1.058216816E+01  1.595069915E-01
1.058545938E+01  6.995552033E-02
1.058875059E+01  7.776937634E-02
1.059204181E+01  3.812084794E-01
1.059533302E+01  4.062741101E-01
1.059862424E+01  2.312807590E-01
1.060191546E+01  5.141687393E-02
1.060520667E+01  3.713038564E-01
1.060849789E+01  5.144166350E-01
1.061178911E+01  6.039736867E-01
1.061508032E+01  4.889046550E-01
1.061837154E+01  2.611895800E-01
1.062166276E+01  1.783836782E-01
1.062495397E+01  2.770529389E-01
1.062824519E+01  3.717660904E-01
1.063153641E+01  2.854985893E-01
1.063482762E+01  4.211904407E-01
1.063811884E+01  6.001634002E-01
1.064141005E+01  7.401881218E-01
1.064470127E+01  6.224719286E-01
1.064799249E+01  5.019064546E-01
1.065128370E+01  5.972591043E-01
1.065457492E+01  5.257899165E-01
1.065786614E+01  4.812009633E-01
1.066115735E+01  3.023079932E-01
1.066444857E+01  1.274214834E-01
1.066773979E+01  4.727841821E-03
1.067103100E+01  9.052350186E-03
1.067432222E+01  -6.605072320E-02
1.067761343E+01  -2.057384700E-01
1.068090465E+01  -1.967783086E-02
1.068419587E+01  2.414679900E-02
1.068748708E+01  1.749159992E-01
1.069077830E+01  1.515778303E-01
1.069406952E+01  3.126944602E-01
1.069736073E+01  2.791294158E-01
1.070065195E+01  2.600955367E-01
1.070394317E+01  1.818475425E-01
1.070723438E+01  1.693801433E-01
1.071052560E+01  1.870406121E-01
1.071381682E+01  1.450265348E-01
1.071710803E+01  1.387723982E-01
1.072039925E+01  5.117294565E-02
1.072369046E+01  -1.503704116E-02
1.072698168E+01  -4.687406868E-02
1.073027290E+01  -2.129247040E-02
1.073356411E+01  8.607804775E-02
1.073685533E+01  1.583495140E-01
1.074014655E+01  2.891012728E-01
1.074343776E+01  4.467514455E-01
1.074672898E+01  5.732670426E-01
1.075002020E+01  5.067942739E-01
1.075331141E+01  3.288750947E-01
1.075660263E+01  2.429510802E-01
1.075989384E+01  1.853310317E-01
1.076318506E+01  1.667418331E-01
1.076647628E+01  1.061487272E-01
1.076976749E+01  1.856510043E-01
1.077305871E+01  1.492080092E-01
1.077634993E+01  1.124317199E-01
1.077964114E+01  -1.911075041E-02
1.078293236E+01  1.260786653E-01
1.078622358E+01  2.205815911E-01
1.078951479E+01  4.806798995E-01
1.079280601E+01  4.747415781E-01
1.079609723E+01  5.086500049E-01
1.079938844E+01  3.740445971E-01
1.080267966E+01  3.302742541E-01
1.080597087E+01  1.203657761E-01
1.080926209E+01  2.061342001E-01
1.081255331E+01  2.563589811E-01
1.081584452E+01  4.339393675E-01
1.081913574E+01  3.648930788E-01
1.082242696E+01  4.540112317E-01
1.082571817E+01  2.266408503E-01
1.082900939E+01  2.492418587E-01
1.083230061E+01  1.204788610E-01
1.083559182E+01  3.352080882E-01
1.083888304E+01  4.355489910E-01
1.084217425E+01  4.618385136E-01
1.084546547E+01  3.996490538E-01
1.084875669E+01  3.566708565E-01
1.085204790E+01  3.512312770E-01
1.085533912E+01  2.980532348E-01
1.085863034E+01  1.743492484E-01
1.086192155E+01  1.589424759E-01
1.086521277E+01  2.282186151E-01
1.086850399E+01  2.074404210E-01
1.087179520E+01  7.477702200E-02
1.087508642E+01  -5.268254876E-02
1.087837764E+01  2.289548889E-02
1.088166885E+01  2.600651979E-01
1.088496007E+01  5.017809868E-01
1.088825128E+01  7.133547068E-01
1.089154250E+01  7.322571874E-01
1.089483372E+01  6.704801917E-01
1.089812493E+01  4.513071775E-01
1.090141615E+01  2.809433341E-01
1.090470737E+01  1.705455780E-01
1.090799858E+01  2.384133339E-01
1.091128980E+01  1.997468621E-01
1.091458102E+01  1.422517151E-01
1.091787223E+01  5.844999477E-02
1.092116345E+01  1.955912113E-01
1.092445466E+01  3.921600282E-01
