# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  8.067230582E-01
1.021026071E+01  4.473185539E-01
1.021355192E+01  5.018425584E-01
1.021684314E+01  6.941755414E-01
1.022013436E+01  3.558921814E-01
1.022342557E+01  4.098133445E-01
1.022671679E+01  2.521217763E-01
1.023000800E+01  -8.403797448E-02
1.023329922E+01  -5.992867798E-02
1.023659044E+01  -4.045903683E-01
1.023988165E+01  -5.093325973E-01
1.024317287E+01  -4.565298557E-01
1.024646409E+01  -1.969225891E-02
1.024975530E+01  1.812022030E-01
1.025304652E+01  3.692719340E-01
1.025633774E+01  2.420586348E-01
1.025962895E+01  1.215163320E-01
1.026292017E+01  -1.124954745E-01
1.026621138E+01  8.549007028E-02
1.026950260E+01  -1.597304493E-01
1.027279382E+01  -5.698068812E-02
1.027608503E+01  -2.400439233E-02
1.027937625E+01  3.760921955E-02
1.028266747E+01  -2.818225622E-01
1.028595868E+01  -1.395402551E-01
1.028924990E+01  -2.942129597E-02
1.029254112E+01  3.414867520E-01
1.029583233E+01  4.158439040E-01
1.029912355E+01  3.104310334E-01
1.030241477E+01  1.329929978E-01
1.030570598E+01  -2.485243604E-02
1.030899720E+01  -3.329499811E-02
1.031228841E+01  -3.438197821E-02
1.031557963E+01  9.318440408E-02
1.031887085E+01  3.830399513E-01
1.032216206E+01  3.925496936E-01
1.032545328E+01  4.877639413E-01
1.032874450E+01  1.672143638E-01
