# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  6.752840281E-01
1.021026071E+01  8.322624564E-01
1.021355192E+01  1.481746674E+00
1.021684314E+01  1.456252813E+00
1.022013436E+01  1.220879912E+00
1.022342557E+01  1.325666666E+00
1.022671679E+01  8.170261979E-01
1.023000800E+01  -1.849528253E-01
1.023329922E+01  -1.614272296E-01
1.023659044E+01  -7.505963091E-03
1.023988165E+01  -1.569844484E-01
1.024317287E+01  -3.284534216E-01
1.024646409E+01  -2.641606927E-01
1.024975530E+01  -1.826426089E-01
1.025304652E+01  -5.503550172E-02
1.025633774E+01  1.054452360E-01
1.025962895E+01  2.282350063E-01
1.026292017E+01  1.925549209E-01
1.026621138E+01  1.187481061E-01
1.026950260E+01  -9.133744985E-02
1.027279382E+01  -9.051238745E-02
1.027608503E+01  -1.052801386E-01
1.027937625E+01  -2.420946360E-01
1.028266747E+01  -9.647426009E-02
1.028595868E+01  3.101789057E-01
1.028924990E+01  3.948455155E-01
1.029254112E+01  2.206993103E-01
1.029583233E+01  9.863069654E-02
1.029912355E+01  6.176861934E-03
1.030241477E+01  -2.177591808E-02
1.030570598E+01  1.382711828E-01
1.030899720E+01  8.341455460E-02
1.031228841E+01  -1.751535833E-01
1.031557963E+01  1.461034864E-01
1.031887085E+01  6.178593040E-01
1.032216206E+01  8.102603555E-01
1.032545328E+01  6.713860035E-01
1.032874450E+01  3.828155398E-01
1.033203571E+01  1.425728947E-01
1.033532693E+01  8.360739052E-02
1.033861815E+01  2.167254835E-01
1.034190936E+01  2.448827624E-01
1.034520058E+01  7.156305760E-02
1.034849179E+01  -1.388501972E-01
1.035178301E+01  -1.366264373E-01
1.035507423E+01  -2.583484948E-01
1.035836544E+01  -2.878529131E-01
1.036165666E+01  -1.732617766E-01
1.036494788E+01  1.544306427E-01
1.036823909E+01  7.331134379E-02
1.037153031E+01  1.853725463E-01
